timestamp_iso;target_current_a;voltage_v;esc_current_a;meter_to_esc_factor;power_w;throttle_input_pct;throttle_output_pct;rpm_electrical;rpm_mechanical;mos_temp_c;motor_temp_c;mah_used;bec_voltage_v;state_h;state_l;raw
2026-07-05T13:33:59;2.0;23.70;0.00;;0.00;12;12;18370;2624;36;0;423;0.0;0x00;0x00;DD 01 20 00 ED 00 00 0C 07 2D 24 00 0C 00 00 01 A7 00 00 00 00 00 00 00 00 00 00 00 00 00 03 03
2026-07-05T13:34:43;4.0;23.40;1.20;3.3333;28.08;20;20;25770;3681;36;0;423;0.0;0x00;0x00;DD 01 20 00 EA 00 0C 14 0A 11 24 00 14 00 00 01 A7 00 00 00 00 00 00 00 00 00 00 00 00 00 03 03
2026-07-05T13:35:13;6.0;23.00;4.00;1.5000;92.00;32;32;33860;4837;36;0;586;0.0;0x00;0x00;DD 01 20 00 E6 00 28 20 0D 3A 24 00 20 00 00 02 4A 00 00 00 00 00 00 00 00 00 00 00 00 00 03 03
2026-07-05T13:35:29;8.0;22.60;6.00;1.3333;135.60;39;39;37210;5316;37;0;732;0.0;0x00;0x00;DD 01 20 00 E2 00 3C 27 0E 89 25 00 27 00 00 02 DC 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04
2026-07-05T13:35:52;10.0;22.30;7.60;1.3158;169.48;44;44;39970;5710;37;0;943;0.0;0x00;0x00;DD 01 20 00 DF 00 4C 2C 0F 9D 25 00 2C 00 00 03 AF 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04
2026-07-05T13:36:11;12.0;21.60;8.80;1.3636;190.08;51;51;43810;6259;37;0;1303;0.0;0x00;0x00;DD 01 20 00 D8 00 58 33 11 1D 25 00 33 00 00 05 17 00 00 00 00 00 00 00 00 00 00 00 00 00 03 03
2026-07-05T13:36:37;14.0;21.60;10.40;1.3462;224.64;55;55;46180;6597;38;0;1806;0.0;0x00;0x00;DD 01 20 00 D8 00 68 37 12 0A 26 00 37 00 00 07 0E 00 00 00 00 00 00 00 00 00 00 00 00 00 03 03
2026-07-05T13:37:34;16.0;21.10;12.00;1.3333;253.20;58;58;47580;6797;38;0;2416;0.0;0x00;0x00;DD 01 20 00 D3 00 78 3A 12 96 26 00 3A 00 00 09 70 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04
2026-07-05T13:38:08;18.0;20.60;14.40;1.2500;296.64;63;63;48660;6951;39;0;4063;0.0;0x00;0x00;DD 01 20 00 CE 00 90 3F 13 02 27 00 3F 00 00 0F DF 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04
2026-07-05T13:38:37;20.0;20.30;16.00;1.2500;324.80;67;67;51520;7360;39;0;5541;0.0;0x00;0x00;DD 01 20 00 CB 00 A0 43 14 20 27 00 43 00 00 15 A5 00 00 00 00 00 00 00 00 00 00 00 00 00 04 04
